blast_file,break_type,locus_tag,subject_start,subject_end,break_position
GCA_963437285_1.blastn.txt,end,PA0041,805,556,556
GCA_000950725_1.blastn.txt,beg,PA0041,559,804,559
GCA_020406475_1.blastn.txt,end,PA0041,797,568,568
GCA_037001005_1.blastn.txt,end,PA0041,839,590,590
GCA_030540985_1.blastn.txt,beg,PA0041,643,883,643
GCA_004372205_1.blastn.txt,end,PA0041,940,691,691
GCA_963444105_1.blastn.txt,end,PA0041,969,720,720
GCA_963450005_1.blastn.txt,end,PA0041,969,720,720
GCA_031488955_2.blastn.txt,end,PA0041,970,721,721
GCA_031488955_2.blastn.txt,beg,PA0041,750,999,750
GCA_020406475_1.blastn.txt,beg,PA0041,797,568,797
GCA_020406475_1.blastn.txt,end,PA0041,1169,853,853
GCA_030540985_1.blastn.txt,end,PA0041,643,883,883
GCA_038594085_1.blastn.txt,end,PA0041,1388,964,964
GCA_963428675_1.blastn.txt,end,PA0041,1286,1037,1037
GCA_028937265_3.blastn.txt,beg,PA0041,1075,1324,1075
GCA_028937265_3.blastn.txt,beg,PA0041,1075,1324,1075
GCA_004350385_1.blastn.txt,beg,PA0041,1093,1308,1093
GCA_022341105_1.blastn.txt,beg,PA0041,1105,1400,1105
GCA_022341105_1.blastn.txt,end,PA0041,1354,1105,1105
GCA_015765385_1.blastn.txt,beg,PA0041,1146,1388,1146
GCA_015765385_1.blastn.txt,beg,PA0041,1146,1395,1146
GCA_004350385_1.blastn.txt,end,PA0041,1395,1146,1146
GCA_025235705_1.blastn.txt,beg,PA0041,1155,1403,1155
GCA_030540985_1.blastn.txt,end,PA0041,1404,1155,1155
GCA_036236935_1.blastn.txt,beg,PA0041,1159,1408,1159
GCA_020406475_1.blastn.txt,beg,PA0041,1169,853,1169
GCA_034810865_1.blastn.txt,end,PA0041,951,1200,1200
GCA_034810865_1.blastn.txt,beg,PA0041,1233,1482,1233
GCA_963444105_1.blastn.txt,beg,PA0041,1236,987,1236
GCA_963450005_1.blastn.txt,beg,PA0041,1236,987,1236
GCA_031824655_1.blastn.txt,end,PA0041,1485,1236,1236
GCA_021681715_1.blastn.txt,end,PA0041,1413,1237,1237
GCA_013115485_1.blastn.txt,end,PA0041,1495,1246,1246
GCA_015736465_1.blastn.txt,beg,PA0041,1262,1511,1262
GCA_019781145_1.blastn.txt,beg,PA0041,1262,1511,1262
GCA_016009715_1.blastn.txt,end,PA0041,1511,1262,1262
GCA_015765385_1.blastn.txt,end,PA0041,1023,1272,1272
GCA_022341105_1.blastn.txt,end,PA0041,1526,1277,1277
GCA_039570865_1.blastn.txt,end,PA0041,1527,1278,1278
GCA_013620125_1.blastn.txt,beg,PA0041,1291,1540,1291
GCA_003935835_1.blastn.txt,beg,PA0041,1312,1561,1312
GCA_019166725_1.blastn.txt,beg,PA0041,1312,1561,1312
GCA_019167725_1.blastn.txt,beg,PA0041,1312,1561,1312
GCA_025104815_1.blastn.txt,beg,PA0041,1312,1561,1312
GCA_025123755_1.blastn.txt,beg,PA0041,1312,1561,1312
GCA_031847695_1.blastn.txt,end,PA0041,1561,1312,1312
GCA_023909265_1.blastn.txt,beg,PA0041,1318,1567,1318
GCA_023933665_1.blastn.txt,beg,PA0041,1334,1583,1334
GCA_037001005_1.blastn.txt,end,PA0041,1583,1334,1334
GCA_013115485_1.blastn.txt,end,PA0041,1095,1344,1344
GCA_038594085_1.blastn.txt,beg,PA0041,1368,1617,1368
GCA_963444105_1.blastn.txt,beg,PA0041,1387,1636,1387
GCA_963450005_1.blastn.txt,end,PA0041,1636,1387,1387
GCA_963451295_1.blastn.txt,end,PA0041,1636,1387,1387
GCA_004350385_1.blastn.txt,beg,PA0041,1388,1142,1388
GCA_029605155_1.blastn.txt,beg,PA0041,1388,1139,1388
GCA_038594085_1.blastn.txt,beg,PA0041,1388,964,1388
GCA_963433735_1.blastn.txt,beg,PA0041,1388,1139,1388
GCA_003935835_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_016009715_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_019166725_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_019167725_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_025123755_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_040064175_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_963443145_1.blastn.txt,end,PA0041,1139,1388,1388
GCA_016338985_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_029605155_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_031824055_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963433075_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963433735_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963437285_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963443145_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963449685_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963452735_1.blastn.txt,beg,PA0041,1389,1638,1389
GCA_963454075_1.blastn.txt,beg,PA0041,1389,1637,1389
GCA_040064175_1.blastn.txt,end,PA0041,1638,1389,1389
GCA_021681715_1.blastn.txt,beg,PA0041,1398,1647,1398
GCA_022341105_1.blastn.txt,end,PA0041,1105,1400,1400
GCA_963429955_1.blastn.txt,end,PA0041,1653,1405,1405
GCA_963433775_1.blastn.txt,end,PA0041,1888,1639,1639
GCA_963428675_1.blastn.txt,beg,PA0041,1895,1646,1895
GCA_963428675_1.blastn.txt,beg,PA0041,1908,2157,1908
GCA_031824655_1.blastn.txt,beg,PA0041,2157,1908,2157
GCA_036315885_1.blastn.txt,beg,PA0041,2157,1908,2157
GCA_040064175_1.blastn.txt,beg,PA0041,2157,1908,2157
GCA_029605155_1.blastn.txt,end,PA0041,1908,2157,2157
GCA_963433075_1.blastn.txt,end,PA0041,1908,2157,2157
GCA_963452735_1.blastn.txt,end,PA0041,1908,2157,2157
GCA_036236935_1.blastn.txt,end,PA0041,2652,2158,2158
GCA_963454075_1.blastn.txt,end,PA0041,1910,2158,2158
GCA_963450005_1.blastn.txt,beg,PA0041,2165,1916,2165
GCA_963451295_1.blastn.txt,beg,PA0041,2165,1916,2165
GCA_963433735_1.blastn.txt,end,PA0041,1916,2165,2165
GCA_963443145_1.blastn.txt,end,PA0041,1916,2165,2165
GCA_963444105_1.blastn.txt,end,PA0041,1916,2165,2165
GCA_038594085_1.blastn.txt,end,PA0041,1929,2178,2178
GCA_031824055_1.blastn.txt,end,PA0041,1944,2192,2192
GCA_001449725_1.blastn.txt,beg,PA0041,2216,2690,2216
GCA_963449685_1.blastn.txt,end,PA0041,1971,2219,2219
GCA_023933665_1.blastn.txt,end,PA0041,1971,2220,2220
GCA_023909265_1.blastn.txt,end,PA0041,1979,2228,2228
GCA_036664635_1.blastn.txt,beg,PA0041,2230,1981,2230
GCA_026913035_1.blastn.txt,beg,PA0041,2234,1985,2234
GCA_003935835_1.blastn.txt,end,PA0041,1985,2234,2234
GCA_025123755_1.blastn.txt,end,PA0041,1985,2234,2234
GCA_025235705_1.blastn.txt,end,PA0041,1985,2234,2234
GCA_036236935_1.blastn.txt,end,PA0041,1985,2234,2234
